
########################################
# I2C, OneByteAddresses
# ClockMatrix (14.2)
# 3/18/2021 9:25:53 AM
########################################


Size: 0x4, Offset: FC, Data: 0x00C01020
Size: 0x4, Offset: FC, Data: 0x00811020
Size: 0x4, Offset: FC, Data: 0x00C11020
Size: 0x2, Offset: 60, Data: 0x0000
Size: 0x6, Offset: 64, Data: 0x000000000000
Size: 0x2, Offset: 6C, Data: 0x0000
Size: 0x8, Offset: 70, Data: 0x0000000000000000
Size: 0x13, Offset: 80, Data: 0x00000000000000000000000000000000000000
Size: 0x1A, Offset: 94, Data: 0x00B0710B000005000000000000000000800648F63703FFFF7F40
Size: 0xE, Offset: B0, Data: 0x40BE402500000400020000000001
Size: 0xE, Offset: C0, Data: 0x0000000000000000030000000120
Size: 0xE, Offset: D0, Data: 0x0000000000000000000000000200
Size: 0x4, Offset: FC, Data: 0x00C21020
Size: 0xE, Offset: 00, Data: 0x0000000000000000000000000300
Size: 0xE, Offset: 10, Data: 0x0000000000000000000000000400
Size: 0xE, Offset: 20, Data: 0x0000000000000000000000000500
Size: 0xE, Offset: 30, Data: 0x0000000000000000000000000600
Size: 0xE, Offset: 40, Data: 0x0000000000000000000000000700
Size: 0xE, Offset: 50, Data: 0x0000000000000000000000000800
Size: 0xE, Offset: 60, Data: 0x0000000000000000000000000900
Size: 0xE, Offset: 80, Data: 0x0000000000000000000000000A00
Size: 0xE, Offset: 90, Data: 0x0000000000000000000000000B00
Size: 0xE, Offset: A0, Data: 0x0000000000000000000000000C00
Size: 0xE, Offset: B0, Data: 0x0000000000000000000000000D00
Size: 0xE, Offset: C0, Data: 0x0000000000000000000000000E00
Size: 0xE, Offset: D0, Data: 0x0000000000000000000000000F00
Size: 0x7, Offset: E0, Data: 0x00000000000000
Size: 0xB, Offset: E8, Data: 0x0000000300000000000000
Size: 0x4, Offset: F4, Data: 0x00000000
Size: 0x4, Offset: FC, Data: 0x00C31020
Size: 0x7, Offset: 00, Data: 0x00000000000000
Size: 0xB, Offset: 08, Data: 0x0000000000000000000000
Size: 0xB, Offset: 14, Data: 0x0000000000000000000000
Size: 0xB, Offset: 20, Data: 0x0000000000000000000000
Size: 0xB, Offset: 2C, Data: 0x0000000000000000000000
Size: 0xB, Offset: 38, Data: 0x0000000000000000000000
Size: 0xB, Offset: 44, Data: 0x0000000000000000000000
Size: 0xB, Offset: 50, Data: 0x0000000000000000000000
Size: 0xB, Offset: 5C, Data: 0x0000000000000000000000
Size: 0xB, Offset: 68, Data: 0x0000000000000000000000
Size: 0x4, Offset: 74, Data: 0x00000000
Size: 0x7, Offset: 80, Data: 0x00000000000000
Size: 0xB, Offset: 88, Data: 0x0000000000000000000000
Size: 0xB, Offset: 94, Data: 0x0000000000000000000000
Size: 0xB, Offset: A0, Data: 0x0000000000000000000000
Size: 0x3C, Offset: AC, Data: 0x00000000000000020000000000000086010000000000000000000000000000000000000000000000000C000000000000000000000000280800010000
Size: 0x4, Offset: FC, Data: 0x00C41020
Size: 0x70, Offset: 00, Data: 0x000000040000000000000086010000000000000000000000000000000000000000000000000C0000000000000000000000002800000100000000000000000000000000440100000000000000000000000000000000000000000000000005000000000000000000000000282000000008
Size: 0x70, Offset: 80, Data: 0x00000000000000000000000A010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0x4, Offset: FC, Data: 0x00C51020
Size: 0x70, Offset: 00, Data: 0x00000000000000000000000A010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0x55, Offset: 80, Data: 0x00000000000000000000000A01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A01000025000000000000000000000000000000000000000000
Size: 0x4, Offset: FC, Data: 0x00C61020
Size: 0x2E, Offset: 00, Data: 0x00120564644075030000000000000000000000000000000000000000C041FF984025FFFFD4300000000000000000
Size: 0x3A, Offset: 30, Data: 0x000000000000A12A0000000000120564644075030000000000000000000000000000000000000000C041FF984025FFFFD4300000000000000000
Size: 0xC, Offset: 6C, Data: 0x000000000000A12A00000000
Size: 0x2E, Offset: 80, Data: 0x00000300644000000000000000000000000000000000000000000000C041FF984025FFFF04000000000000000000
Size: 0x3A, Offset: B0, Data: 0x000000000000A12A0000000000000004198000000000000000000000000000000000000000000000C041FF984025FFFF04000000000000000000
Size: 0xC, Offset: EC, Data: 0x000000000000A12A00000000
Size: 0x4, Offset: FC, Data: 0x00C71020
Size: 0x2E, Offset: 00, Data: 0x00000004198000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0x3A, Offset: 30, Data: 0x000000000000A12A0000000000000004198000000000000000000000000000000000000000000000C041FF984025FFFF04000000000000000000
Size: 0xC, Offset: 6C, Data: 0x000000000000A12A00000000
Size: 0x2E, Offset: 80, Data: 0x00000004198000000000000000000000000000000000000000000000C041FF984025FFFF04000000000000000000
Size: 0x3A, Offset: B0, Data: 0x000000000000A12A0000000000000004198000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0xC, Offset: EC, Data: 0x000000000000A12A00000000
Size: 0x4, Offset: FC, Data: 0x00C81020
Size: 0x3, Offset: 00, Data: 0x000004
Size: 0x13, Offset: 04, Data: 0x64800000000000000000000000000000000000
Size: 0x60, Offset: 18, Data: 0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0x41, Offset: 80, Data: 0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Size: 0x11, Offset: C2, Data: 0x0000000000000000000000000000000000
Size: 0x11, Offset: D4, Data: 0x0000000000000000000000000000000000
Size: 0x11, Offset: E6, Data: 0x0000000000000000000000000000000000
Size: 0x4, Offset: FC, Data: 0x00C91020
Size: 0x11, Offset: 00, Data: 0x0000000000000000000000000000000000
Size: 0x11, Offset: 12, Data: 0x0000000000000000000000000000000000
Size: 0x11, Offset: 24, Data: 0x0000000000000000000000000000000000
